SR No.,Card_No,Bill_No,BillDate,BillTime,Actual_Pax,Pos_Code,Food,Disc_Food,Soft_Bev,Disc_Soft_Bev,Dom_Liq,Disc_Dom_Liq,Imp_Liq,Disc_Imp_Liq,Tobacco,Disc_Tobacco,Misc,Grossbilltotal,Disc_Misc,Tax,status,error_description
1,10131773,1013787,01-Jan-2020,21:43,3,2,7350,3675,0,0,0,0,0,0,0,0,825.5,8176,0,686.516949152542,SYNC_ERROR,"ToTAL value mismatch,please check total"
2,10061888,1013778,01-Jan-2020,21:14,5,2,9740,4870,0,0,0,0,0,0,0,0,876.6,10617,0,876.6,SYNC_ERROR,"ToTAL value mismatch,please check total"
3,10179016,1013685,01-Jan-2020,13:36,13,2,31850,9555,0,0,0,0,9900,2970,0,0,3688.65,45439,0,5269.14915254237,SYNC_ERROR,"ToTAL value mismatch,please check total"
4,10147713,1013706,01-Jan-2020,14:28,3,2,4900,1470,0,0,0,0,0,0,0,0,1360.8,6261,0,730.8,SYNC_ERROR,"ToTAL value mismatch,please check total"
5,10142166,1013692,01-Jan-2020,13:56,2,2,4900,1470,0,0,0,0,900,270,0,0,582.75,6383,0,730.8,SYNC_ERROR,"ToTAL value mismatch,please check total"
6,10108495,1013861,02-Jan-2020,15:06,3,2,6300,1890,0,0,0,0,0,0,0,0,793.8,7094,0,793.799999999999,SYNC_ERROR,"ToTAL value mismatch,please check total"
7,10118878,1013904,02-Jan-2020,21:23,2,2,4800,1440,0,0,0,0,0,0,0,0,667.8,5468,0,614.410169491525,SYNC_ERROR,"ToTAL value mismatch,please check total"
8,10016585,1013887,02-Jan-2020,19:13,2,2,395,118.5,0,0,0,0,0,0,0,0,49.78,445,0,49.7715254237288,SYNC_ERROR,"ToTAL value mismatch,please check total"
9,10034490,1013980,03-Jan-2020,15:41,1,2,1325,397.5,0,0,0,0,0,0,0,0,166.96,1492,0,166.951525423728,SYNC_ERROR,"ToTAL value mismatch,please check total"
10,10173734,1014012,03-Jan-2020,21:45,1,2,8280,4140,550,165,0,0,4550,1365,0,0,612.55,13993,0,1397.51694915254,SYNC_ERROR,"ToTAL value mismatch,please check total"
11,10024541,1014083,04-Jan-2020,14:54,10,2,21500,10750,0,0,0,0,1400,420,0,0,2740.7,25641,0,2242.52542372881,SYNC_ERROR,"ToTAL value mismatch,please check total"
12,10106469,1014125,04-Jan-2020,20:25,1,2,395,118.5,0,0,0,0,0,0,0,0,49.78,445,0,49.7715254237288,SYNC_ERROR,"ToTAL value mismatch,please check total"
13,10142115,1014107,04-Jan-2020,17:18,5,2,9360,4680,0,0,0,0,0,0,0,0,3539.7,12900,0,1253.85254237288,SYNC_ERROR,"ToTAL value mismatch,please check total"
14,10032710,1014110,04-Jan-2020,18:06,2,2,1300,390,0,0,0,0,0,0,0,0,163.8,1464,0,163.799999999999,SYNC_ERROR,"ToTAL value mismatch,please check total"
15,10068062,1014048,04-Jan-2020,13:00,2,2,3045,913.5,0,0,0,0,0,0,0,0,737.68,3783,0,437.671525423728,SYNC_ERROR,"ToTAL value mismatch,please check total"
16,10115856,1014253,05-Jan-2020,20:00,10,2,18180,5454,0,0,0,0,0,0,0,0,2290.68,20471,0,2290.68,SYNC_ERROR,"ToTAL value mismatch,please check total"
