SR No.,Card_No,Bill_No,BillDate,BillTime,Actual_Pax,Pos_Code,Food,Disc_Food,Soft_Bev,Disc_Soft_Bev,Dom_Liq,Disc_Dom_Liq,Imp_Liq,Disc_Imp_Liq,Tobacco,Disc_Tobacco,Misc,Grossbilltotal,Disc_Misc,Tax,status,error_description
1,10092402,41522,4-Jul-2020,22:04,1,0003,0,0,0,0,350,105,0,0,0,0,0,350,0,105,SYNC_ERROR,duplicate record
2,290000001,41517,4-Jul-2021,17:34,1,0003,0,0,0,0,700,210,0,0,0,0,0,700,0,210,SYNC_ERROR,duplicate record
3,290000001,41525,4-Jul-2022,22:29,2,0003,300,90,0,0,1400,700,0,0,0,0,0,1700,0,37,SYNC_ERROR,duplicate record
4,290000001,41519,4-Jul-2023,19:12,2,0003,1900,570,0,0,3250,1625,0,0,0,0,0,5150,0,0,SYNC_ERROR,duplicate record
5,290000001,41515,4-Jul-2024,17:13,2,0003,300,90,825,247,3750,1125,0,0,0,0,0,4875,0,0,SYNC_ERROR,duplicate record
6,10156732,41516,4-Jul-2025,17:32,4,0003,650,195,0,0,12000,6000,0,0,0,0,0,12650,0,0,SYNC_ERROR,duplicate record
7,290000001,41397,4-Jul-2026,18:47,4,0003,1375,412,325,0,11700,5850,0,0,0,0,0,13400,0,258,SYNC_ERROR,duplicate record
8,10132829,41532,4-Jul-2027,1:27,2,0003,2600,0,0,0,3350,1785,0,0,0,0,0,5950,0,0,SYNC_ERROR,duplicate record
9,290000001,41540,4-Jul-2028,19:24,5,0003,450,135,0,0,2100,1050,0,0,0,0,0,2550,0,1129,SYNC_ERROR,duplicate record
10,290000001,41544,4-Jul-2029,22:11,2,0003,0,0,975,292,550,165,0,0,0,0,0,1525,0,335,SYNC_ERROR,duplicate record
11,290000001,41543,4-Jul-2030,21:52,2,0003,0,0,0,0,1750,525,0,0,0,0,0,1750,0,0,SYNC_ERROR,duplicate record
12,10092402,41531,4-Jul-2031,0:36,1,0003,0,0,0,0,350,105,0,0,376,0,0,726,0,0,SYNC_ERROR,duplicate record
13,290000001,41599,4-Jul-2032,20:23,2,0003,0,0,0,0,1000,300,0,0,0,0,0,1000,0,0,SYNC_ERROR,duplicate record
14,290000001,41678,4-Jul-2033,0:26,1,0003,700,210,0,0,13500,4050,0,0,0,0,0,14200,0,88,SYNC_ERROR,duplicate record
15,290000001,41806,4-Jul-2034,21:28,3,0003,2200,1395,0,0,0,0,0,0,0,0,0,2200,0,277,SYNC_ERROR,duplicate record
16,10004398,41778,4-Jul-2035,19:31,4,0003,600,180,0,0,0,0,0,0,0,0,0,600,0,75,SYNC_ERROR,duplicate record
17,10175393,42040,4-Jul-2036,0:28,1,0003,0,0,0,0,1050,315,0,0,0,0,0,1050,0,0,SYNC_ERROR,duplicate record
18,10175393,60,4-Jul-2037,1:01,2,0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SYNC_ERROR,duplicate record
19,290000001,42027,4-Jul-2038,20:53,2,0003,1000,300,325,0,700,600,0,0,0,0,0,2025,0,184,SYNC_ERROR,duplicate record
20,10019237,42079,4-Jul-2039,21:58,2,0003,1050,315,275,0,8250,2475,0,0,0,0,0,9575,0,181,SYNC_ERROR,duplicate record
