SR No.,Card_No,Bill_No,BillDate,BillTime,Actual_Pax,Pos_Code,Food,Disc_Food,Soft_Bev,Disc_Soft_Bev,Dom_Liq,Disc_Dom_Liq,Imp_Liq,Disc_Imp_Liq,Tobacco,Disc_Tobacco,Misc,Grossbilltotal,Disc_Misc,Tax,status,error_description
1,33000214,255,Mon Aug 31 2020 23:59:50 GMT+0530 (India Standard Time),20:44,1,0BFR,450,90,0,0,0,0,0,0,0,0,0,451,0,51.84,SYNC_ERROR,duplicate record
2,33000215,2557,Mon Aug 31 2020 23:59:50 GMT+0530 (India Standard Time),20:44,1,0BFR,450,90,0,0,0,0,0,0,5,0,0,455,0,51.84,SYNC_ERROR,duplicate record
3,33010214,2555,Mon Aug 31 2020 23:59:50 GMT+0530 (India Standard Time),20:45,1,0BFR,450,90,0,0,0,0,0,0,0,0,10,460,0,51.84,SYNC_ERROR,duplicate record
4,33000255,2597,Mon Aug 31 2020 23:59:50 GMT+0530 (India Standard Time),20:49,1,0BFR,450,90,0,0,0,0,0,0,5,0,0,455,0,51.84,SYNC_ERROR,duplicate record
